Region,ExistingStrength,StrenghtAltA,StrenghtAltB,PanelAOnly
East,749806.7054999998,820687.4945000004,678925.9164999998,226042.36800000007
West Midlands,585444.3075999997,705392.5896999998,465496.02550000016,160068.4528
South West,622046.5881,762863.8842000002,481229.2920000001,171189.47040000005
South East,1594425.9704000007,1883106.0877999999,1305745.8529999992,412242.55519999994
London,2287845.8711000024,2656295.0412000036,1919396.7009999997,890520.6032
East Midlands,585102.3506999998,750754.3848999996,419450.3164999999,166361.83519999997
North West,767323.6095,963220.7609999997,571426.4580000001,243664.24799999996
Yorkshire,737439.3713000001,917663.0520999996,557215.6905000001,204785.89280000006
North East,391636.1958000003,484582.5641,298689.82749999996,96361.3376
Wales,372334.98040000023,452459.1947999999,292210.76600000006,134498.1632
Scotland,1204134.4517999995,1489166.423600001,919102.4799999995,419823.27680000005
Northern Ireland,221092.58620000002,286943.3904,155241.78199999998,66931.784
